season,season_year,end_date,anomaly_c
DJF,1950,1950-02-28,-1.19
JFM,1950,1950-03-31,-1.08
FMA,1950,1950-04-30,-0.96
MAM,1950,1950-05-31,-1.0
AMJ,1950,1950-06-30,-0.99
MJJ,1950,1950-07-31,-0.75
JJA,1950,1950-08-31,-0.38
JAS,1950,1950-09-30,-0.32
ASO,1950,1950-10-31,-0.29
SON,1950,1950-11-30,-0.38
OND,1950,1950-12-31,-0.36
NDJ,1950,1951-01-31,-0.5
DJF,1951,1951-02-28,-0.28
JFM,1951,1951-03-31,0.09
FMA,1951,1951-04-30,0.48
MAM,1951,1951-05-31,0.63
AMJ,1951,1951-06-30,0.59
MJJ,1951,1951-07-31,0.69
JJA,1951,1951-08-31,0.79
JAS,1951,1951-09-30,0.97
ASO,1951,1951-10-31,1.04
SON,1951,1951-11-30,0.98
OND,1951,1951-12-31,0.94
NDJ,1951,1952-01-31,0.71
DJF,1952,1952-02-29,0.65
JFM,1952,1952-03-31,0.33
FMA,1952,1952-04-30,0.46
MAM,1952,1952-05-31,0.24
AMJ,1952,1952-06-30,-0.03
MJJ,1952,1952-07-31,-0.45
JJA,1952,1952-08-31,-0.41
JAS,1952,1952-09-30,-0.14
ASO,1952,1952-10-31,0.08
SON,1952,1952-11-30,0.04
OND,1952,1952-12-31,-0.1
NDJ,1952,1953-01-31,0.1
DJF,1953,1953-02-28,0.4
JFM,1953,1953-03-31,0.67
FMA,1953,1953-04-30,0.68
MAM,1953,1953-05-31,0.72
AMJ,1953,1953-06-30,0.94
MJJ,1953,1953-07-31,0.84
JJA,1953,1953-08-31,0.68
JAS,1953,1953-09-30,0.73
ASO,1953,1953-10-31,0.65
SON,1953,1953-11-30,0.84
OND,1953,1953-12-31,0.57
NDJ,1953,1954-01-31,0.66
DJF,1954,1954-02-28,0.63
JFM,1954,1954-03-31,0.63
FMA,1954,1954-04-30,0.31
MAM,1954,1954-05-31,-0.02
AMJ,1954,1954-06-30,-0.24
MJJ,1954,1954-07-31,-0.21
JJA,1954,1954-08-31,-0.45
JAS,1954,1954-09-30,-0.62
ASO,1954,1954-10-31,-0.54
SON,1954,1954-11-30,-0.31
OND,1954,1954-12-31,-0.09
NDJ,1954,1955-01-31,-0.18
DJF,1955,1955-02-28,-0.12
JFM,1955,1955-03-31,-0.14
FMA,1955,1955-04-30,-0.13
MAM,1955,1955-05-31,-0.38
AMJ,1955,1955-06-30,-0.36
MJJ,1955,1955-07-31,-0.52
JJA,1955,1955-08-31,-0.4
JAS,1955,1955-09-30,-0.7
ASO,1955,1955-10-31,-0.9
SON,1955,1955-11-30,-1.31
OND,1955,1955-12-31,-1.4
NDJ,1955,1956-01-31,-1.31
DJF,1956,1956-02-29,-0.81
JFM,1956,1956-03-31,-0.4
FMA,1956,1956-04-30,-0.12
MAM,1956,1956-05-31,-0.09
AMJ,1956,1956-06-30,-0.03
