country_id,country,positive_detection_count,modis_count,viirs_noaa20_count,viirs_noaa21_count,viirs_snpp_count,status
ZWE,Zimbabwe,3840,228,913,1146,1553,positive_detection_records
ZMB,Zambia,25367,627,7755,8539,8446,positive_detection_records
YEM,Yemen,15,0,5,4,6,positive_detection_records
VNM,Vietnam,239,17,97,69,56,positive_detection_records
VEN,Venezuela,488,46,151,138,153,positive_detection_records
VAT,Vatican City,0,0,0,0,0,zero_returned_positive_detection
VUT,Vanuatu,0,0,0,0,0,zero_returned_positive_detection
UZB,Uzbekistan,116,5,41,26,44,positive_detection_records
URY,Uruguay,19,1,5,7,6,positive_detection_records
FSM,Federated States of Micronesia,0,0,0,0,0,zero_returned_positive_detection
MHL,Marshall Islands,0,0,0,0,0,zero_returned_positive_detection
MNP,Northern Mariana Islands,0,0,0,0,0,zero_returned_positive_detection
VIR,United States Virgin Islands,0,0,0,0,0,zero_returned_positive_detection
GUM,Guam,0,0,0,0,0,zero_returned_positive_detection
ASM,American Samoa,0,0,0,0,0,zero_returned_positive_detection
PRI,Puerto Rico,0,0,0,0,0,zero_returned_positive_detection
USA,United States of America,5324,309,1781,1476,1758,positive_detection_records
SGS,South Georgia and the South Sandwich Islands,0,0,0,0,0,zero_returned_positive_detection
IOT,British Indian Ocean Territory,0,0,0,0,0,zero_returned_positive_detection
SHN,Saint Helena,0,0,0,0,0,zero_returned_positive_detection
PCN,Pitcairn Islands,0,0,0,0,0,zero_returned_positive_detection
AIA,Anguilla,0,0,0,0,0,zero_returned_positive_detection
FLK,Falkland Islands,0,0,0,0,0,zero_returned_positive_detection
CYM,Cayman Islands,0,0,0,0,0,zero_returned_positive_detection
BMU,Bermuda,0,0,0,0,0,zero_returned_positive_detection
VGB,British Virgin Islands,0,0,0,0,0,zero_returned_positive_detection
TCA,Turks and Caicos Islands,0,0,0,0,0,zero_returned_positive_detection
MSR,Montserrat,0,0,0,0,0,zero_returned_positive_detection
JEY,Jersey,0,0,0,0,0,zero_returned_positive_detection
GGY,Guernsey,0,0,0,0,0,zero_returned_positive_detection
IMN,Isle of Man,0,0,0,0,0,zero_returned_positive_detection
GBR,United Kingdom,81,0,16,15,50,positive_detection_records
ARE,United Arab Emirates,125,15,32,63,15,positive_detection_records
UKR,Ukraine,6922,470,2662,1487,2303,positive_detection_records
UGA,Uganda,396,47,169,58,122,positive_detection_records
TKM,Turkmenistan,472,1,166,121,184,positive_detection_records
TUR,Turkey,500,13,250,96,141,positive_detection_records
TUN,Tunisia,25,0,7,7,11,positive_detection_records
TTO,Trinidad and Tobago,0,0,0,0,0,zero_returned_positive_detection
TON,Tonga,0,0,0,0,0,zero_returned_positive_detection
TGO,Togo,0,0,0,0,0,zero_returned_positive_detection
TLS,East Timor,92,0,24,49,19,positive_detection_records
THA,Thailand,27,2,12,8,5,positive_detection_records
TZA,Tanzania,7479,719,2931,1860,1969,positive_detection_records
TJK,Tajikistan,6,0,2,2,2,positive_detection_records
TWN,Taiwan,2,0,0,1,1,positive_detection_records
SYR,Syria,273,8,113,42,110,positive_detection_records
CHE,Switzerland,9,0,3,3,3,positive_detection_records
SWE,Sweden,19,0,6,4,9,positive_detection_records
SWZ,Eswatini,435,6,148,165,116,positive_detection_records
SUR,Suriname,24,0,6,8,10,positive_detection_records
SDS,South Sudan,83,6,38,18,21,positive_detection_records
SDN,Sudan,33,4,4,23,2,positive_detection_records
LKA,Sri Lanka,192,51,45,35,61,positive_detection_records
ESP,Spain,105,9,23,37,36,positive_detection_records
KOR,South Korea,31,0,17,6,8,positive_detection_records
ZAF,South Africa,8476,348,2807,2631,2690,positive_detection_records
SOM,Somalia,13,0,6,5,2,positive_detection_records
SOL,Somaliland,3,0,0,1,2,positive_detection_records
SLB,Solomon Islands,0,0,0,0,0,zero_returned_positive_detection
SVK,Slovakia,10,2,4,2,2,positive_detection_records
SVN,Slovenia,0,0,0,0,0,zero_returned_positive_detection
SGP,Singapore,0,0,0,0,0,zero_returned_positive_detection
SLE,Sierra Leone,0,0,0,0,0,zero_returned_positive_detection
SYC,Seychelles,0,0,0,0,0,zero_returned_positive_detection
SRB,Serbia,338,36,127,117,58,positive_detection_records
SEN,Senegal,9,0,3,3,3,positive_detection_records
SAU,Saudi Arabia,264,7,76,81,100,positive_detection_records
STP,São Tomé and Príncipe,0,0,0,0,0,zero_returned_positive_detection
SMR,San Marino,0,0,0,0,0,zero_returned_positive_detection
WSM,Samoa,0,0,0,0,0,zero_returned_positive_detection
VCT,Saint Vincent and the Grenadines,0,0,0,0,0,zero_returned_positive_detection
LCA,Saint Lucia,0,0,0,0,0,zero_returned_positive_detection
KNA,Saint Kitts and Nevis,0,0,0,0,0,zero_returned_positive_detection
RWA,Rwanda,32,2,17,9,4,positive_detection_records
RUS,Russia,97123,5407,30973,30337,30406,positive_detection_records
ROU,Romania,235,21,91,69,54,positive_detection_records
QAT,Qatar,12,0,3,2,7,positive_detection_records
PRT,Portugal,79,16,11,17,35,positive_detection_records
POL,Poland,11,0,10,1,0,positive_detection_records
PHL,Philippines,18,0,9,4,5,positive_detection_records
PER,Peru,464,13,100,200,151,positive_detection_records
PRY,Paraguay,1433,173,417,378,465,positive_detection_records
PNG,Papua New Guinea,6579,58,1878,2040,2603,positive_detection_records
PAN,Panama,1,0,1,0,0,positive_detection_records
PLW,Palau,0,0,0,0,0,zero_returned_positive_detection
PAK,Pakistan,40,4,8,14,14,positive_detection_records
OMN,Oman,231,9,68,94,60,positive_detection_records
NOR,Norway,14,0,6,4,4,positive_detection_records
PRK,North Korea,2,0,1,1,0,positive_detection_records
NGA,Nigeria,24,1,10,6,7,positive_detection_records
NER,Niger,0,0,0,0,0,zero_returned_positive_detection
NIC,Nicaragua,30,1,7,5,17,positive_detection_records
NZL,New Zealand,16,0,4,7,5,positive_detection_records
NIU,Niue,0,0,0,0,0,zero_returned_positive_detection
COK,Cook Islands,0,0,0,0,0,zero_returned_positive_detection
NLD,Netherlands,10,4,3,3,0,positive_detection_records
ABW,Aruba,0,0,0,0,0,zero_returned_positive_detection
