gid_1,province,year,month,burned_area_ha,fire_count
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2002,2,84.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2002,3,64.0,1
IDN.12_1,Kalimantan Barat,2002,6,534.0,2
IDN.13_1,Kalimantan Selatan,2002,6,685.0,3
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2002,6,342.0,2
IDN.12_1,Kalimantan Barat,2002,7,11176.0,59
IDN.13_1,Kalimantan Selatan,2002,7,3228.0,18
IDN.14_1,Kalimantan Tengah,2002,7,11854.0,64
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2002,7,1517.0,4
IDN.12_1,Kalimantan Barat,2002,8,55280.0,284
IDN.13_1,Kalimantan Selatan,2002,8,19406.0,111
IDN.14_1,Kalimantan Tengah,2002,8,48830.0,276
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2002,8,13267.0,67
IDN.12_1,Kalimantan Barat,2002,9,77223.0,531
IDN.13_1,Kalimantan Selatan,2002,9,59085.0,378
IDN.14_1,Kalimantan Tengah,2002,9,83395.0,558
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2002,9,42118.0,257
IDN.12_1,Kalimantan Barat,2002,10,6065.0,30
IDN.13_1,Kalimantan Selatan,2002,10,40858.0,246
IDN.14_1,Kalimantan Tengah,2002,10,32318.0,219
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2002,10,15877.0,88
IDN.13_1,Kalimantan Selatan,2002,11,661.0,6
IDN.14_1,Kalimantan Tengah,2002,11,577.0,6
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2002,11,64.0,1
IDN.12_1,Kalimantan Barat,2003,2,470.0,2
IDN.12_1,Kalimantan Barat,2003,3,618.0,5
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2003,3,64.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2003,4,470.0,3
IDN.12_1,Kalimantan Barat,2003,5,241.0,4
IDN.13_1,Kalimantan Selatan,2003,5,1431.0,3
IDN.14_1,Kalimantan Tengah,2003,5,3056.0,18
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2003,5,193.0,2
IDN.12_1,Kalimantan Barat,2003,6,3504.0,20
IDN.13_1,Kalimantan Selatan,2003,6,545.0,3
IDN.14_1,Kalimantan Tengah,2003,6,3993.0,26
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2003,6,598.0,4
IDN.12_1,Kalimantan Barat,2003,7,1239.0,8
IDN.13_1,Kalimantan Selatan,2003,7,3248.0,20
IDN.14_1,Kalimantan Tengah,2003,7,2372.0,19
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2003,7,449.0,3
IDN.12_1,Kalimantan Barat,2003,8,19075.0,113
IDN.13_1,Kalimantan Selatan,2003,8,16647.0,85
IDN.14_1,Kalimantan Tengah,2003,8,22936.0,140
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2003,8,961.0,6
IDN.12_1,Kalimantan Barat,2003,9,14792.0,113
IDN.13_1,Kalimantan Selatan,2003,9,11861.0,73
IDN.14_1,Kalimantan Tengah,2003,9,40255.0,270
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2003,9,577.0,3
IDN.12_1,Kalimantan Barat,2003,10,1026.0,5
IDN.13_1,Kalimantan Selatan,2003,10,620.0,5
IDN.14_1,Kalimantan Tengah,2003,10,1793.0,18
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2003,10,235.0,1
IDN.12_1,Kalimantan Barat,2004,2,962.0,7
IDN.12_1,Kalimantan Barat,2004,3,64.0,1
IDN.14_1,Kalimantan Tengah,2004,3,960.0,8
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2004,3,513.0,3
IDN.12_1,Kalimantan Barat,2004,5,235.0,2
IDN.14_1,Kalimantan Tengah,2004,5,85.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2004,5,64.0,1
IDN.12_1,Kalimantan Barat,2004,6,4058.0,17
IDN.13_1,Kalimantan Selatan,2004,6,1068.0,4
IDN.14_1,Kalimantan Tengah,2004,6,769.0,4
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2004,6,1025.0,5
IDN.12_1,Kalimantan Barat,2004,7,2021.0,12
IDN.13_1,Kalimantan Selatan,2004,7,919.0,3
IDN.14_1,Kalimantan Tengah,2004,7,448.0,5
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2004,7,512.0,5
IDN.12_1,Kalimantan Barat,2004,8,103081.0,551
IDN.13_1,Kalimantan Selatan,2004,8,25883.0,121
IDN.14_1,Kalimantan Tengah,2004,8,106415.0,490
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2004,8,38420.0,195
IDN.12_1,Kalimantan Barat,2004,9,54308.0,410
IDN.13_1,Kalimantan Selatan,2004,9,29974.0,164
IDN.14_1,Kalimantan Tengah,2004,9,69885.0,468
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2004,9,9225.0,69
IDN.12_1,Kalimantan Barat,2004,10,4933.0,35
IDN.13_1,Kalimantan Selatan,2004,10,35739.0,179
IDN.14_1,Kalimantan Tengah,2004,10,48702.0,322
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2004,10,48060.0,294
IDN.13_1,Kalimantan Selatan,2004,11,64.0,1
IDN.14_1,Kalimantan Tengah,2004,11,192.0,2
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2004,11,1921.0,9
IDN.12_1,Kalimantan Barat,2005,1,363.0,3
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2005,1,1924.0,5
IDN.12_1,Kalimantan Barat,2005,2,213.0,2
IDN.13_1,Kalimantan Selatan,2005,2,85.0,1
IDN.14_1,Kalimantan Tengah,2005,2,107.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2005,2,1241.0,9
IDN.12_1,Kalimantan Barat,2005,3,85.0,1
IDN.14_1,Kalimantan Tengah,2005,3,278.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2005,3,1453.0,9
IDN.12_1,Kalimantan Barat,2005,4,64.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2005,4,234.0,3
IDN.12_1,Kalimantan Barat,2005,5,257.0,1
IDN.14_1,Kalimantan Tengah,2005,6,64.0,1
IDN.12_1,Kalimantan Barat,2005,7,2138.0,14
