bbox_pixels,bbox_window,composite_doy_max,composite_doy_min,composite_end,composite_start,doy,evi_mean_qa,evi_p05_qa,evi_p50_qa,evi_p95_qa,intersects_bbox,path,qa_pass_fraction_of_valid,qa_pass_pixels,sha256,tile,valid_evi_pixels,window_pixels,year
2495367,"[3808, 957, 4800, 4800]",365,-1,2015-01-03,2014-12-19,353,0.53509,0.39955,0.5465,0.6266,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2014353.h28v08.061.2021316113111.hdf,0.05509,22476,0e99fa209ef50c80ea9f989649029eba7f508dcbc24dc3afabba57dad58946ab,h28v08,407990,3812256,2014
1311308,"[3808, 0, 4800, 2403]",365,-1,2015-01-03,2014-12-19,353,0.535312,0.327645,0.5504,0.65557,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2014353.h28v09.061.2021316112908.hdf,0.013825,2922,35bb3afa11fa2628e700f0329dd17a47126a654ecc07024259bd6a99b16b8ab3,h28v09,211351,2383776,2014
17368598,"[0, 957, 4583, 4800]",365,-1,2015-01-03,2014-12-19,353,0.498587,0.3802,0.4902,0.6402,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2014353.h29v08.061.2021316111640.hdf,0.063125,502619,0fa0089055136d1df4b12ef895e4412d067015c1099db74100e8ad9c43125e5e,h29v08,7962300,17612469,2014
10999187,"[0, 0, 4583, 2403]",365,-1,2015-01-03,2014-12-19,353,0.536793,0.3937,0.5407,0.672195,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2014353.h29v09.061.2021316114749.hdf,0.172794,973582,4043c983d541d2e2d86f8d36034d9ce03e3433c8a682ef97e6f9edbe38bb3e9a,h29v09,5634352,11012949,2014
,,,,,,353,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2014353.h30v08.061.2021316120322.hdf,,,,h30v08,,,2014
,,,,,,353,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2014353.h30v09.061.2021316115615.hdf,,,,h30v09,,,2014
2495367,"[3808, 957, 4800, 4800]",16,-1,2015-01-16,2015-01-01,1,0.565376,0.3977,0.575,0.692425,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015001.h28v08.061.2021317061355.hdf,0.015326,6256,973528636d066def7ba73b60d476084de3cd267558051459c855ed2e59a0cd17,h28v08,408200,3812256,2015
1311308,"[3808, 0, 4800, 2403]",16,-1,2015-01-16,2015-01-01,1,0.556752,0.4262,0.56785,0.6509,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015001.h28v09.061.2021317051036.hdf,0.03121,6586,4dbb20c9da479fc981d1ae4647d46d6fbb987ab0a4aa05177a35a0d5d79d6649,h28v09,211022,2383776,2015
17368598,"[0, 957, 4583, 4800]",16,-1,2015-01-16,2015-01-01,1,0.518391,0.3804,0.5181,0.6572,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015001.h29v08.061.2021317055928.hdf,0.053667,427352,46901ab70ea2ff6a81f7d4aa4a6c86140d96325505e368be00ac8458c5441353,h29v08,7963103,17612469,2015
10999187,"[0, 0, 4583, 2403]",16,-1,2015-01-16,2015-01-01,1,0.567777,0.4226,0.5753,0.6833,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015001.h29v09.061.2021317044920.hdf,0.113179,637940,8ce864a63e6360178a05954a07dbb55dee11f6dc6cfea52625e78b3af2f087fe,h29v09,5636579,11012949,2015
,,,,,,1,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015001.h30v08.061.2021317043043.hdf,,,,h30v08,,,2015
,,,,,,1,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015001.h30v09.061.2021317050820.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",32,-1,2015-02-01,2015-01-17,17,0.625766,0.4624,0.6408,0.73975,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015017.h28v08.061.2021318041321.hdf,0.013452,5491,e8feedbfd8d1a3a47aec48a5b647ea5f993a66daed4fdfc33b72fad906c0297b,h28v08,408190,3812256,2015
1311308,"[3808, 0, 4800, 2403]",32,-1,2015-02-01,2015-01-17,17,0.601638,0.3762,0.61135,0.78821,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015017.h28v09.061.2021318033111.hdf,0.018074,3820,c407ff18f89b7a3b6102d57ca39b3316eb8083090e31377780c1898d124503b0,h28v09,211356,2383776,2015
