pair_key,acquisition_utc,year,doy,hhmm,vnp14_count,vnp03_count,vnp14_path,vnp03_path,pair_status,outcome_status,opportunity_status,negative_frame_status
2015001.0548,2015-01-01T05:48:00Z,2015,1,0548,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015001.0548.002.2024151022549.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015001.0548.002.2021033131743.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015001.0554,2015-01-01T05:54:00Z,2015,1,0554,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015001.0554.002.2024151022552.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015001.0554.002.2021033130758.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015001.1648,2015-01-01T16:48:00Z,2015,1,1648,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015001.1648.002.2024151022555.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015001.1648.002.2021033132345.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015001.1654,2015-01-01T16:54:00Z,2015,1,1654,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015001.1654.002.2024151022557.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015001.1654.002.2021033133216.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015001.1830,2015-01-01T18:30:00Z,2015,1,1830,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015001.1830.002.2024151022601.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015001.1830.002.2021033131611.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015001.1836,2015-01-01T18:36:00Z,2015,1,1836,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015001.1836.002.2024151022600.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015001.1836.002.2021033132153.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015002.0530,2015-01-02T05:30:00Z,2015,2,0530,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015002.0530.002.2024151022918.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015002.0530.002.2021033134604.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015002.0536,2015-01-02T05:36:00Z,2015,2,0536,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015002.0536.002.2024151022915.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015002.0536.002.2021033132845.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015002.0712,2015-01-02T07:12:00Z,2015,2,0712,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015002.0712.002.2024151022948.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015002.0712.002.2021033141531.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015002.1630,2015-01-02T16:30:00Z,2015,2,1630,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015002.1630.002.2024151023226.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015002.1630.002.2021033133350.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015182.0554,2015-07-01T05:54:00Z,2015,182,0554,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015182.0554.002.2024064161121.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015182.0554.002.2021040075533.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015182.1654,2015-07-01T16:54:00Z,2015,182,1654,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015182.1654.002.2024064161205.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015182.1654.002.2021040082508.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015182.1830,2015-07-01T18:30:00Z,2015,182,1830,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015182.1830.002.2024064161205.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015182.1830.002.2021040083035.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015182.1836,2015-07-01T18:36:00Z,2015,182,1836,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015182.1836.002.2024064161109.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015182.1836.002.2021040082032.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015183.0536,2015-07-02T05:36:00Z,2015,183,0536,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015183.0536.002.2024064171807.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015183.0536.002.2021040082525.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
2015183.1636,2015-07-02T16:36:00Z,2015,183,1636,1,1,data/raw/viirs/VNP14IMG/VNP14IMG.A2015183.1636.002.2024064171839.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015183.1636.002.2021040084850.nc,paired,active_fire_product_present,eligible_for_geolocation_processing,not_built
