pair_key,acquisition_utc,array_shape,pixel_count,finite_geolocation_pixels,bbox_geolocation_pixels,out_of_range_geolocation_pixels,prespecified_processed_or_fire_class_count,prespecified_processed_or_fire_in_bbox_count,opportunity_status,vnp14_path,vnp03_path
2015001.0548,2015-01-01T05:48:00Z,"[6496, 6400]",41574400,41574400,3034530,0,2873887,497527,screened_not_denominator_ready,data/raw/viirs/VNP14IMG/VNP14IMG.A2015001.0548.002.2024151022549.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015001.0548.002.2021033131743.nc
2015001.0554,2015-01-01T05:54:00Z,"[6464, 6400]",41369600,41369600,7761563,0,5757650,1163237,screened_not_denominator_ready,data/raw/viirs/VNP14IMG/VNP14IMG.A2015001.0554.002.2024151022552.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015001.0554.002.2021033130758.nc
2015001.1648,2015-01-01T16:48:00Z,"[6464, 6400]",41369600,41369600,1143020,0,1528195,144455,screened_not_denominator_ready,data/raw/viirs/VNP14IMG/VNP14IMG.A2015001.1648.002.2024151022555.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015001.1648.002.2021033132345.nc
2015001.1654,2015-01-01T16:54:00Z,"[6464, 6400]",41369600,41369600,2062121,0,3473789,195931,screened_not_denominator_ready,data/raw/viirs/VNP14IMG/VNP14IMG.A2015001.1654.002.2024151022557.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015001.1654.002.2021033133216.nc
2015001.1830,2015-01-01T18:30:00Z,"[6496, 6400]",41574400,41574400,7339621,0,9274503,618252,screened_not_denominator_ready,data/raw/viirs/VNP14IMG/VNP14IMG.A2015001.1830.002.2024151022601.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015001.1830.002.2021033131611.nc
2015001.1836,2015-01-01T18:36:00Z,"[6464, 6400]",41369600,41369600,1048536,0,393052,21732,screened_not_denominator_ready,data/raw/viirs/VNP14IMG/VNP14IMG.A2015001.1836.002.2024151022600.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015001.1836.002.2021033132153.nc
2015002.0530,2015-01-02T05:30:00Z,"[6464, 6400]",41369600,41369600,5625369,0,1723376,359375,screened_not_denominator_ready,data/raw/viirs/VNP14IMG/VNP14IMG.A2015002.0530.002.2024151022918.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015002.0530.002.2021033134604.nc
2015002.0536,2015-01-02T05:36:00Z,"[6464, 6400]",41369600,41369600,5179942,0,4165598,87666,screened_not_denominator_ready,data/raw/viirs/VNP14IMG/VNP14IMG.A2015002.0536.002.2024151022915.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015002.0536.002.2021033132845.nc
2015002.0712,2015-01-02T07:12:00Z,"[6496, 6400]",41574400,41574400,4322,0,221624,0,screened_not_denominator_ready,data/raw/viirs/VNP14IMG/VNP14IMG.A2015002.0712.002.2024151022948.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015002.0712.002.2021033141531.nc
2015002.1630,2015-01-02T16:30:00Z,"[6464, 6400]",41369600,41369600,399,0,974524,0,screened_not_denominator_ready,data/raw/viirs/VNP14IMG/VNP14IMG.A2015002.1630.002.2024151023226.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015002.1630.002.2021033133350.nc
2015182.0554,2015-07-01T05:54:00Z,"[6464, 6400]",41369600,41369600,10762466,0,6823016,3963621,screened_not_denominator_ready,data/raw/viirs/VNP14IMG/VNP14IMG.A2015182.0554.002.2024064161121.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015182.0554.002.2021040075533.nc
2015182.1654,2015-07-01T16:54:00Z,"[6496, 6400]",41574400,41574400,4830941,0,3920764,911291,screened_not_denominator_ready,data/raw/viirs/VNP14IMG/VNP14IMG.A2015182.1654.002.2024064161205.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015182.1654.002.2021040082508.nc
2015182.1830,2015-07-01T18:30:00Z,"[6464, 6400]",41369600,41369600,73428,0,15731540,0,screened_not_denominator_ready,data/raw/viirs/VNP14IMG/VNP14IMG.A2015182.1830.002.2024064161205.nc,data/raw/viirs/VNP03IMG/VNP03IMG.A2015182.1830.002.2021040083035.nc
