country_id,country,land_area_km2,peat_area_km2,nonpeat_area_km2,raster_covered_area_km2,invalid_peat_cells,firm_file,peat_25_area_km2,nonpeat_25_area_km2,peat_25_count,nonpeat_25_count,unknown_25_count,peat_50_area_km2,nonpeat_50_area_km2,peat_50_count,nonpeat_50_count,unknown_50_count,peat_75_area_km2,nonpeat_75_area_km2,peat_75_count,nonpeat_75_count,unknown_75_count
AFG,Afghanistan,641833.1104861677,393.84617129656533,641439.2643148712,642039.627302273,0,modis_2024_Afghanistan.csv,582.731600261593,641250.3788859061,2,78,0,231.37913083103163,641601.7313553367,1,79,0,53.454024185608716,641779.656461982,0,80,0
ALD,Aland,764.0875962132587,31.1038500024137,732.9837462108451,756.2103782344453,0,,26.88267559734818,737.2049206159105,0,0,0,3.84011948693985,760.2474767263188,0,0,0,0.42716161300132194,763.6604346002574,0,0,0
ALB,Albania,28372.5644184124,216.55637703712011,28156.00804137528,28316.3810142885,0,modis_2024_Albania.csv,312.31072572431754,28060.253692688082,46,690,0,211.59222538681703,28160.972193025584,36,700,0,125.59079048846681,28246.973627923933,31,705,0
DZA,Algeria,2319293.3526720707,330.1443333119834,2318963.208338759,2322690.8027087175,6,modis_2024_Algeria.csv,446.6274280695551,2318846.725244001,0,1456,0,181.50833461570696,2319111.844337455,0,1456,0,75.72796688321276,2319217.6247051875,0,1456,0
ASM,American Samoa,119.96071196378708,0.0,119.96071196378708,118.1461320841899,0,modis_2024_American_Samoa.csv,0.0,119.96071196378708,0,0,0,0.0,119.96071196378708,0,0,0,0.0,119.96071196378708,0,0,0
AND,Andorra,442.5542242163447,2.960253662980593,439.5939705533641,440.9379366432729,0,modis_2024_Andorra.csv,0.0,442.5542242163447,0,0,0,0.0,442.5542242163447,0,0,0,0.0,442.5542242163447,0,0,0
AGO,Angola,1244670.866641471,17788.945214639945,1226881.921426831,1249416.8006874137,36,modis_2024_Angola.csv,25094.60694088665,1219576.2597005842,8590,361136,4,14295.204435735046,1230375.662205736,4992,364734,4,3532.1300432493686,1241138.7365982216,1445,368281,4
AIA,Anguilla,83.01335513962198,0.7014572464580751,82.3118978931639,84.81879806428354,0,,0.0,83.01335513962198,0,0,0,0.0,83.01335513962198,0,0,0,0.0,83.01335513962198,0,0,0
ATA,Antarctica,12356254.416110074,0.0,12356254.416110074,1208.5717834529064,0,,0.0,12356254.416110074,0,0,0,0.0,12356254.416110074,0,0,0,0.0,12356254.416110074,0,0,0
ATG,Antigua and Barbuda,431.4054316991828,18.743392467567443,412.6620392316154,436.1700097280203,0,modis_2024_Antigua_and_Barbuda.csv,23.766677378173767,407.63875432100906,0,1,0,2.4540129805188955,428.95141871866394,0,1,0,0.0,431.4054316991828,0,1,0
ARG,Argentina,2782471.641494034,40079.67223763487,2742391.969256399,2782440.127938823,313,modis_2024_Argentina.csv,54036.849036006344,2728434.7924580276,1635,43816,2,35284.984969498,2747186.6565245357,1000,44451,2,20452.75694092953,2762018.884553104,515,44936,2
ARM,Armenia,29590.890396244933,19.35186033169048,29571.53853591324,29559.819552285022,0,modis_2024_Armenia.csv,26.329706382959728,29564.560689861974,0,146,0,16.423384828878998,29574.467011416054,0,146,0,0.6602409822362283,29590.230155262696,0,146,0
ABW,Aruba,154.66609432244283,1.3834305686003938,153.28266375384243,151.71619574979178,0,modis_2024_Aruba.csv,0.8384191249281229,153.8276751975147,0,1,0,0.0,154.66609432244283,0,1,0,0.0,154.66609432244283,0,1,0
ATC,Ashmore and Cartier Islands,2.7075441742676944,0.0,2.7075441742676944,0.0,0,,0.0,2.7075441742676944,0,0,0,0.0,2.7075441742676944,0,0,0,0.0,2.7075441742676944,0,0,0
AUS,Australia,7691283.760943007,31326.634776286646,7659957.12616672,7705734.146661059,287,modis_2024_Australia.csv,49084.77461719135,7642198.986325815,447,210275,2,31835.2108886435,7659448.550054363,211,210511,2,5160.650242541296,7686123.110700466,36,210686,2
AUT,Austria,84148.79567317333,158.4450706493162,83990.350602524,83909.65800687732,0,modis_2024_Austria.csv,155.37753214259763,83993.41814103074,0,43,0,37.08165300315042,84111.71402017018,0,43,0,22.00887518246555,84126.78679799086,0,43,0
